cuda is available
USING : cuda
Done loading data from cached files.
Training ...
     Batch 000 | Loss : 0.7018 | Acc : 0.4869
     Batch 125 | Loss : 0.3478 | Acc : 0.8438
     Batch 130 | Loss : 0.3583 | Acc : 0.8277
     Batch 135 | Loss : 0.3517 | Acc : 0.8434
     Batch 140 | Loss : 0.3126 | Acc : 0.8668
     Batch 145 | Loss : 0.4079 | Acc : 0.8077
     Batch 150 | Loss : 0.3761 | Acc : 0.8267
Epoch 00004 | Train Loss : 0.3631 | Eval Loss : 0.3691 | Train acc : 0.8337 | Eval Acc : 0.8272 | Eval Log. Respected : 0.9521
     Batch 000 | Loss : 0.2953 | Acc : 0.8661
     Batch 005 | Loss : 0.3367 | Acc : 0.8492
     Batch 010 | Loss : 0.3835 | Acc : 0.8284
     Batch 015 | Loss : 0.3275 | Acc : 0.8551
     Batch 020 | Loss : 0.3597 | Acc : 0.8375
     Batch 025 | Loss : 0.3682 | Acc : 0.8312
     Batch 030 | Loss : 0.3668 | Acc : 0.8354
     Batch 035 | Loss : 0.4673 | Acc : 0.7776
     Batch 040 | Loss : 0.3596 | Acc : 0.8384
     Batch 045 | Loss : 0.3490 | Acc : 0.8396
     Batch 050 | Loss : 0.3531 | Acc : 0.8353
     Batch 055 | Loss : 0.3620 | Acc : 0.8345
     Batch 060 | Loss : 0.3621 | Acc : 0.8361
     Batch 065 | Loss : 0.3806 | Acc : 0.8211
     Batch 070 | Loss : 0.3787 | Acc : 0.8210
     Batch 075 | Loss : 0.4101 | Acc : 0.8101
     Batch 080 | Loss : 0.3334 | Acc : 0.8504
     Batch 085 | Loss : 0.3855 | Acc : 0.8206
     Batch 090 | Loss : 0.3243 | Acc : 0.8557
     Batch 095 | Loss : 0.3748 | Acc : 0.8201
     Batch 100 | Loss : 0.3904 | Acc : 0.8196
     Batch 105 | Loss : 0.3768 | Acc : 0.8241
     Batch 110 | Loss : 0.3559 | Acc : 0.8385
     Batch 115 | Loss : 0.3735 | Acc : 0.8288
     Batch 120 | Loss : 0.3638 | Acc : 0.8305
     Batch 125 | Loss : 0.3312 | Acc : 0.8477
     Batch 130 | Loss : 0.3587 | Acc : 0.8324
     Batch 135 | Loss : 0.3568 | Acc : 0.8359
     Batch 140 | Loss : 0.3487 | Acc : 0.8418
     Batch 145 | Loss : 0.3970 | Acc : 0.8165
     Batch 150 | Loss : 0.3234 | Acc : 0.8553
Epoch 00005 | Train Loss : 0.3628 | Eval Loss : 0.3637 | Train acc : 0.8341 | Eval Acc : 0.8288 | Eval Log. Respected : 0.9424
     Batch 000 | Loss : 0.3515 | Acc : 0.8387
     Batch 005 | Loss : 0.4232 | Acc : 0.7984
     Batch 010 | Loss : 0.3540 | Acc : 0.8399
     Batch 015 | Loss : 0.3349 | Acc : 0.8488
     Batch 020 | Loss : 0.3401 | Acc : 0.8411
     Batch 025 | Loss : 0.3776 | Acc : 0.8209
     Batch 030 | Loss : 0.3750 | Acc : 0.8253
     Batch 035 | Loss : 0.3743 | Acc : 0.8264
     Batch 040 | Loss : 0.3843 | Acc : 0.8186
     Batch 045 | Loss : 0.3588 | Acc : 0.8327
     Batch 050 | Loss : 0.3907 | Acc : 0.8194
     Batch 055 | Loss : 0.3011 | Acc : 0.8687
     Batch 060 | Loss : 0.3619 | Acc : 0.8310
     Batch 065 | Loss : 0.3425 | Acc : 0.8522
     Batch 070 | Loss : 0.4639 | Acc : 0.8091
     Batch 075 | Loss : 0.3844 | Acc : 0.8219
     Batch 080 | Loss : 0.3762 | Acc : 0.8276
     Batch 085 | Loss : 0.3583 | Acc : 0.8335
     Batch 090 | Loss : 0.3425 | Acc : 0.8470
     Batch 095 | Loss : 0.3896 | Acc : 0.8151
     Batch 100 | Loss : 0.3177 | Acc : 0.8590
     Batch 105 | Loss : 0.3604 | Acc : 0.8345
     Batch 110 | Loss : 0.4575 | Acc : 0.7937
     Batch 115 | Loss : 0.3544 | Acc : 0.8443
     Batch 120 | Loss : 0.3333 | Acc : 0.8486
     Batch 125 | Loss : 0.4185 | Acc : 0.8201
     Batch 130 | Loss : 0.3941 | Acc : 0.8122
     Batch 135 | Loss : 0.3229 | Acc : 0.8619
     Batch 140 | Loss : 0.3567 | Acc : 0.8408
     Batch 145 | Loss : 0.3702 | Acc : 0.8292
     Batch 150 | Loss : 0.3898 | Acc : 0.8223
Epoch 00006 | Train Loss : 0.3635 | Eval Loss : 0.3563 | Train acc : 0.8346 | Eval Acc : 0.8343 | Eval Log. Respected : 0.9525
     Batch 000 | Loss : 0.3990 | Acc : 0.8093
     Batch 005 | Loss : 0.3362 | Acc : 0.8497
     Batch 010 | Loss : 0.3059 | Acc : 0.8660
     Batch 015 | Loss : 0.4156 | Acc : 0.8105
     Batch 020 | Loss : 0.3736 | Acc : 0.8223
     Batch 025 | Loss : 0.3580 | Acc : 0.8376
     Batch 030 | Loss : 0.3368 | Acc : 0.8456
     Batch 035 | Loss : 0.3854 | Acc : 0.8159
     Batch 040 | Loss : 0.3349 | Acc : 0.8495
     Batch 045 | Loss : 0.3320 | Acc : 0.8494
     Batch 050 | Loss : 0.4344 | Acc : 0.7881
     Batch 055 | Loss : 0.3687 | Acc : 0.8354
     Batch 060 | Loss : 0.4081 | Acc : 0.8094
     Batch 065 | Loss : 0.3672 | Acc : 0.8340
     Batch 070 | Loss : 0.4669 | Acc : 0.7922
     Batch 075 | Loss : 0.3652 | Acc : 0.8334
     Batch 080 | Loss : 0.3793 | Acc : 0.8238
     Batch 085 | Loss : 0.3989 | Acc : 0.8108
     Batch 090 | Loss : 0.3931 | Acc : 0.8207
     Batch 095 | Loss : 0.3111 | Acc : 0.8639
     Batch 100 | Loss : 0.3319 | Acc : 0.8486
     Batch 105 | Loss : 0.3601 | Acc : 0.8332
     Batch 110 | Loss : 0.3248 | Acc : 0.8522
     Batch 115 | Loss : 0.3317 | Acc : 0.8478
     Batch 120 | Loss : 0.3729 | Acc : 0.8254
     Batch 125 | Loss : 0.3501 | Acc : 0.8395
     Batch 130 | Loss : 0.3871 | Acc : 0.8288
     Batch 135 | Loss : 0.3724 | Acc : 0.8409
     Batch 140 | Loss : 0.3626 | Acc : 0.8347
     Batch 145 | Loss : 0.3526 | Acc : 0.8401
     Batch 150 | Loss : 0.3420 | Acc : 0.8474
Epoch 00007 | Train Loss : 0.3593 | Eval Loss : 0.3581 | Train acc : 0.8360 | Eval Acc : 0.8337 | Eval Log. Respected : 0.9525
     Batch 000 | Loss : 0.3811 | Acc : 0.8224
     Batch 005 | Loss : 0.3720 | Acc : 0.8274
     Batch 010 | Loss : 0.3475 | Acc : 0.8395
     Batch 015 | Loss : 0.3635 | Acc : 0.8333
     Batch 020 | Loss : 0.3246 | Acc : 0.8570
     Batch 025 | Loss : 0.2993 | Acc : 0.8667
     Batch 030 | Loss : 0.3536 | Acc : 0.8403
     Batch 035 | Loss : 0.3284 | Acc : 0.8557
     Batch 040 | Loss : 0.3995 | Acc : 0.8107
     Batch 045 | Loss : 0.3663 | Acc : 0.8289
     Batch 050 | Loss : 0.3038 | Acc : 0.8637
     Batch 055 | Loss : 0.3752 | Acc : 0.8254
     Batch 060 | Loss : 0.3487 | Acc : 0.8387
     Batch 065 | Loss : 0.3571 | Acc : 0.8345
     Batch 070 | Loss : 0.4248 | Acc : 0.8079
     Batch 075 | Loss : 0.3451 | Acc : 0.8461
     Batch 080 | Loss : 0.3251 | Acc : 0.8515
     Batch 085 | Loss : 0.3780 | Acc : 0.8268
     Batch 090 | Loss : 0.3375 | Acc : 0.8499
     Batch 095 | Loss : 0.3685 | Acc : 0.8263
     Batch 100 | Loss : 0.3194 | Acc : 0.8606
     Batch 105 | Loss : 0.4957 | Acc : 0.7757
     Batch 110 | Loss : 0.3524 | Acc : 0.8451
     Batch 115 | Loss : 0.4012 | Acc : 0.8082
     Batch 120 | Loss : 0.3843 | Acc : 0.8249
     Batch 125 | Loss : 0.3835 | Acc : 0.8191
     Batch 130 | Loss : 0.3330 | Acc : 0.8496
     Batch 135 | Loss : 0.3472 | Acc : 0.8405
     Batch 140 | Loss : 0.3573 | Acc : 0.8394
     Batch 145 | Loss : 0.3277 | Acc : 0.8483
     Batch 150 | Loss : 0.3575 | Acc : 0.8379
Epoch 00008 | Train Loss : 0.3574 | Eval Loss : 0.3544 | Train acc : 0.8371 | Eval Acc : 0.8354 | Eval Log. Respected : 0.9432
     Batch 000 | Loss : 0.3882 | Acc : 0.8206
     Batch 005 | Loss : 0.3562 | Acc : 0.8392
     Batch 010 | Loss : 0.3752 | Acc : 0.8284
     Batch 015 | Loss : 0.3506 | Acc : 0.8410
     Batch 020 | Loss : 0.4045 | Acc : 0.8092
     Batch 025 | Loss : 0.3591 | Acc : 0.8384
     Batch 030 | Loss : 0.4183 | Acc : 0.8065
     Batch 035 | Loss : 0.3242 | Acc : 0.8539
     Batch 040 | Loss : 0.3154 | Acc : 0.8622
     Batch 045 | Loss : 0.3448 | Acc : 0.8445
     Batch 050 | Loss : 0.3687 | Acc : 0.8295
     Batch 055 | Loss : 0.3227 | Acc : 0.8565
     Batch 060 | Loss : 0.3599 | Acc : 0.8392
     Batch 065 | Loss : 0.3746 | Acc : 0.8321
     Batch 070 | Loss : 0.3707 | Acc : 0.8243
     Batch 075 | Loss : 0.3332 | Acc : 0.8510
     Batch 080 | Loss : 0.3503 | Acc : 0.8418
     Batch 085 | Loss : 0.3748 | Acc : 0.8254
     Batch 090 | Loss : 0.4267 | Acc : 0.8136
     Batch 095 | Loss : 0.3578 | Acc : 0.8372
     Batch 100 | Loss : 0.3839 | Acc : 0.8199
     Batch 105 | Loss : 0.3487 | Acc : 0.8387
     Batch 110 | Loss : 0.3271 | Acc : 0.8481
     Batch 115 | Loss : 0.3396 | Acc : 0.8467
     Batch 120 | Loss : 0.3114 | Acc : 0.8647
     Batch 125 | Loss : 0.3505 | Acc : 0.8407
     Batch 130 | Loss : 0.3741 | Acc : 0.8271
     Batch 135 | Loss : 0.4278 | Acc : 0.7983
     Batch 140 | Loss : 0.3874 | Acc : 0.8203
     Batch 145 | Loss : 0.4272 | Acc : 0.8055
     Batch 150 | Loss : 0.4213 | Acc : 0.8098
Epoch 00009 | Train Loss : 0.3573 | Eval Loss : 0.3489 | Train acc : 0.8376 | Eval Acc : 0.8382 | Eval Log. Respected : 0.9571
     Batch 000 | Loss : 0.3639 | Acc : 0.8352
     Batch 005 | Loss : 0.3494 | Acc : 0.8444
     Batch 010 | Loss : 0.3780 | Acc : 0.8231
     Batch 015 | Loss : 0.3809 | Acc : 0.8254
     Batch 020 | Loss : 0.3682 | Acc : 0.8303
     Batch 025 | Loss : 0.3311 | Acc : 0.8506
     Batch 030 | Loss : 0.3859 | Acc : 0.8352
     Batch 035 | Loss : 0.3746 | Acc : 0.8254
     Batch 040 | Loss : 0.4108 | Acc : 0.8104
     Batch 045 | Loss : 0.3370 | Acc : 0.8464
     Batch 050 | Loss : 0.3012 | Acc : 0.8670
     Batch 055 | Loss : 0.3431 | Acc : 0.8385
     Batch 060 | Loss : 0.3830 | Acc : 0.8250
     Batch 065 | Loss : 0.4310 | Acc : 0.7984
     Batch 070 | Loss : 0.4056 | Acc : 0.8100
     Batch 075 | Loss : 0.2920 | Acc : 0.8759
     Batch 080 | Loss : 0.3857 | Acc : 0.8233
     Batch 085 | Loss : 0.3354 | Acc : 0.8554
     Batch 090 | Loss : 0.3517 | Acc : 0.8374
     Batch 095 | Loss : 0.3373 | Acc : 0.8478
     Batch 100 | Loss : 0.3538 | Acc : 0.8384
     Batch 105 | Loss : 0.3725 | Acc : 0.8273
     Batch 110 | Loss : 0.3312 | Acc : 0.8509
     Batch 115 | Loss : 0.3142 | Acc : 0.8603
     Batch 120 | Loss : 0.3457 | Acc : 0.8421
     Batch 125 | Loss : 0.3889 | Acc : 0.8201
     Batch 130 | Loss : 0.3853 | Acc : 0.8268
     Batch 135 | Loss : 0.3448 | Acc : 0.8407
     Batch 140 | Loss : 0.3369 | Acc : 0.8434
     Batch 145 | Loss : 0.3161 | Acc : 0.8580
     Batch 150 | Loss : 0.3513 | Acc : 0.8350
Epoch 00010 | Train Loss : 0.3536 | Eval Loss : 0.3477 | Train acc : 0.8394 | Eval Acc : 0.8396 | Eval Log. Respected : 0.9566
     Batch 000 | Loss : 0.3337 | Acc : 0.8483
     Batch 005 | Loss : 0.3490 | Acc : 0.8445
     Batch 010 | Loss : 0.3682 | Acc : 0.8319
     Batch 015 | Loss : 0.3566 | Acc : 0.8442
     Batch 020 | Loss : 0.3695 | Acc : 0.8252
     Batch 025 | Loss : 0.3689 | Acc : 0.8271
     Batch 030 | Loss : 0.3460 | Acc : 0.8424
     Batch 035 | Loss : 0.3765 | Acc : 0.8355
     Batch 040 | Loss : 0.3166 | Acc : 0.8584
     Batch 045 | Loss : 0.3128 | Acc : 0.8635
     Batch 050 | Loss : 0.3795 | Acc : 0.8228
     Batch 055 | Loss : 0.3318 | Acc : 0.8519
     Batch 060 | Loss : 0.3968 | Acc : 0.8216
     Batch 065 | Loss : 0.3512 | Acc : 0.8459
     Batch 070 | Loss : 0.3687 | Acc : 0.8302
     Batch 075 | Loss : 0.3482 | Acc : 0.8437
     Batch 080 | Loss : 0.3162 | Acc : 0.8636
     Batch 085 | Loss : 0.3578 | Acc : 0.8337
     Batch 090 | Loss : 0.3120 | Acc : 0.8612
     Batch 095 | Loss : 0.3541 | Acc : 0.8400
     Batch 100 | Loss : 0.3314 | Acc : 0.8549
     Batch 105 | Loss : 0.3221 | Acc : 0.8563
     Batch 110 | Loss : 0.3496 | Acc : 0.8408
     Batch 115 | Loss : 0.4042 | Acc : 0.8105
     Batch 120 | Loss : 0.3600 | Acc : 0.8350
     Batch 125 | Loss : 0.3063 | Acc : 0.8692
     Batch 130 | Loss : 0.3533 | Acc : 0.8383
     Batch 135 | Loss : 0.3524 | Acc : 0.8392
     Batch 140 | Loss : 0.3317 | Acc : 0.8520
     Batch 145 | Loss : 0.3138 | Acc : 0.8598
     Batch 150 | Loss : 0.3938 | Acc : 0.8136
Epoch 00011 | Train Loss : 0.3538 | Eval Loss : 0.3598 | Train acc : 0.8395 | Eval Acc : 0.8340 | Eval Log. Respected : 0.9573
     Batch 000 | Loss : 0.3239 | Acc : 0.8613
     Batch 005 | Loss : 0.3380 | Acc : 0.8452
     Batch 010 | Loss : 0.3101 | Acc : 0.8629
     Batch 015 | Loss : 0.3635 | Acc : 0.8314
     Batch 020 | Loss : 0.3211 | Acc : 0.8601
     Batch 025 | Loss : 0.3537 | Acc : 0.8393
     Batch 030 | Loss : 0.3417 | Acc : 0.8423
     Batch 035 | Loss : 0.2863 | Acc : 0.8745
     Batch 040 | Loss : 0.3211 | Acc : 0.8551
     Batch 045 | Loss : 0.3574 | Acc : 0.8395
     Batch 050 | Loss : 0.3987 | Acc : 0.8110
     Batch 055 | Loss : 0.3549 | Acc : 0.8430
     Batch 060 | Loss : 0.3076 | Acc : 0.8688
     Batch 065 | Loss : 0.3248 | Acc : 0.8529
     Batch 070 | Loss : 0.3463 | Acc : 0.8403
     Batch 075 | Loss : 0.3382 | Acc : 0.8459
     Batch 080 | Loss : 0.3263 | Acc : 0.8535
     Batch 085 | Loss : 0.3778 | Acc : 0.8284
     Batch 090 | Loss : 0.3070 | Acc : 0.8691
     Batch 095 | Loss : 0.3940 | Acc : 0.8185
     Batch 100 | Loss : 0.3115 | Acc : 0.8652
     Batch 105 | Loss : 0.3587 | Acc : 0.8382
     Batch 110 | Loss : 0.3652 | Acc : 0.8293
     Batch 115 | Loss : 0.3447 | Acc : 0.8446
     Batch 120 | Loss : 0.3307 | Acc : 0.8562
     Batch 125 | Loss : 0.3542 | Acc : 0.8364
     Batch 130 | Loss : 0.3770 | Acc : 0.8266
     Batch 135 | Loss : 0.3797 | Acc : 0.8211
     Batch 140 | Loss : 0.3456 | Acc : 0.8404
     Batch 145 | Loss : 0.3355 | Acc : 0.8512
     Batch 150 | Loss : 0.3898 | Acc : 0.8346
Epoch 00012 | Train Loss : 0.3494 | Eval Loss : 0.3555 | Train acc : 0.8413 | Eval Acc : 0.8386 | Eval Log. Respected : 0.9563
     Batch 000 | Loss : 0.3670 | Acc : 0.8301
     Batch 005 | Loss : 0.3111 | Acc : 0.8603
     Batch 010 | Loss : 0.3091 | Acc : 0.8595
     Batch 015 | Loss : 0.2950 | Acc : 0.8746
     Batch 020 | Loss : 0.3100 | Acc : 0.8603
     Batch 025 | Loss : 0.3214 | Acc : 0.8564
     Batch 030 | Loss : 0.3248 | Acc : 0.8565
     Batch 035 | Loss : 0.3989 | Acc : 0.8132
     Batch 040 | Loss : 0.3414 | Acc : 0.8435
     Batch 045 | Loss : 0.3323 | Acc : 0.8506
     Batch 050 | Loss : 0.3557 | Acc : 0.8301
     Batch 055 | Loss : 0.3326 | Acc : 0.8504
     Batch 060 | Loss : 0.3123 | Acc : 0.8685
     Batch 065 | Loss : 0.3223 | Acc : 0.8545
     Batch 070 | Loss : 0.3396 | Acc : 0.8532
     Batch 075 | Loss : 0.3142 | Acc : 0.8626
     Batch 080 | Loss : 0.3336 | Acc : 0.8463
     Batch 085 | Loss : 0.3348 | Acc : 0.8492
     Batch 090 | Loss : 0.3489 | Acc : 0.8389
     Batch 095 | Loss : 0.3339 | Acc : 0.8486
     Batch 100 | Loss : 0.3292 | Acc : 0.8615
     Batch 105 | Loss : 0.3353 | Acc : 0.8470
     Batch 110 | Loss : 0.3519 | Acc : 0.8385
     Batch 115 | Loss : 0.3887 | Acc : 0.8168
     Batch 120 | Loss : 0.3586 | Acc : 0.8379
     Batch 125 | Loss : 0.3211 | Acc : 0.8547
     Batch 130 | Loss : 0.3370 | Acc : 0.8482
     Batch 135 | Loss : 0.3397 | Acc : 0.8415
     Batch 140 | Loss : 0.3450 | Acc : 0.8435
     Batch 145 | Loss : 0.3224 | Acc : 0.8609
     Batch 150 | Loss : 0.3454 | Acc : 0.8417
Epoch 00013 | Train Loss : 0.3522 | Eval Loss : 0.3540 | Train acc : 0.8400 | Eval Acc : 0.8355 | Eval Log. Respected : 0.9692
     Batch 000 | Loss : 0.4684 | Acc : 0.7801
     Batch 005 | Loss : 0.3437 | Acc : 0.8469
     Batch 010 | Loss : 0.3328 | Acc : 0.8472
     Batch 015 | Loss : 0.2983 | Acc : 0.8705
     Batch 020 | Loss : 0.4193 | Acc : 0.8027
     Batch 025 | Loss : 0.3107 | Acc : 0.8641
     Batch 030 | Loss : 0.3891 | Acc : 0.8229
     Batch 035 | Loss : 0.3360 | Acc : 0.8487
