net,max_min,seed,nb_inequalities,nb_trips,def_nb_veh_D0,def_nb_veh_D1,def_obj_val,def_sol_time,def_col_gen_iter,def_tot_mem_use,ineq_nb_veh_D0,ineq_nb_veh_D1,ineq_obj_val,ineq_sol_time,ineq_col_gen_iter,ineq_tot_mem_use,model_acc
3b,2,57,542,1040,0.0,63.9967,71289.57,491.9,129,67.744,0.0,63.9967,71127.47,296.2,104,68.834,0.907303243412591
3b,2,58,507,1091,0.0,61.997,69703.48,3921.8,325,72.686,0.0,60.9967,68567.07,1193.6,195,77.635,0.9177139714553536
3b,2,59,479,989,0.0,50.9973,57624.08,1600.2,227,72.497,0.0,48.9973,55654.09,293.2,122,67.797,0.9002333166954927
3b,2,60,488,956,0.0,57.9969,64649.74,233.1,116,56.575,0.0,57.9968,64509.67,201.8,105,57.763,0.94183334424007
3b,2,61,451,984,0.0,50.9978,57946.52,857.4,186,63.151,0.0,50.9977,57688.4,421.5,153,69.81,0.8714030442949369
3b,2,62,457,1001,0.0,57.9974,64986.26,1997.3,289,63.416,0.0,57.9974,64666.18,282.4,128,75.751,0.8980673677408859
3b,2,63,571,1095,0.0,68.9962,76551.07,470.7,125,66.495,0.0,68.9961,76261.78,415.6,124,72.345,0.9064143144775494
3b,2,64,468,1043,0.0,56.9972,64305.93,1111.3,188,68.357,0.0,55.9971,63037.23,573.0,132,65.269,0.906475827304307
3b,2,65,541,1105,0.0,68.9963,76527.07,970.2,172,74.608,0.0,68.9963,76285.03,746.0,152,83.152,0.9379150600443956
3b,2,66,532,1052,0.0,63.9968,71439.53,490.3,126,67.086,0.0,63.9967,71177.44,453.5,121,70.991,0.9325406515960936
3b,2,68,576,1107,0.0,63.9968,71577.48,497.4,125,70.196,0.0,63.9968,71277.41,429.6,119,76.174,0.9364262884081059
3b,2,69,500,1125,0.0,57.9972,65187.71,472.2,135,71.982,0.0,57.9972,64939.55,861.1,146,87.351,0.9124029615840554
3b,2,70,527,1013,0.0,57.9972,64951.87,1844.2,258,79.603,0.0,57.997,64797.68,896.9,185,71.4,0.9204890711508309
3b,2,71,544,996,0.0,63.9967,70975.51,1904.2,268,59.299,0.0,63.9964,70746.14,203.5,113,62.16,0.9339718492878307
3b,2,72,530,1103,0.0,63.9966,71569.31,801.4,150,75.047,0.0,63.9963,71407.08,388.8,123,74.199,0.9369030102921164
3b,2,73,445,997,0.0,50.9973,58054.2,1844.5,260,66.64,0.0,50.9973,57849.06,251.7,125,62.628,0.8932261146239913
3b,2,74,507,967,0.0,59.997,66497.77,1648.8,248,60.268,0.0,59.9969,66283.7,370.2,138,63.144,0.9416842270512441
3b,2,75,525,1079,0.0,63.9968,70891.54,1231.3,181,67.85,0.0,62.9967,69795.73,366.5,127,69.0,0.9369650058092462
3b,2,76,536,985,0.0,63.9969,71391.66,634.0,169,59.435,0.0,63.9969,71031.68,1107.5,196,78.166,0.9499330007847169
3b,2,77,569,1072,0.0,63.9967,71623.2,16898.7,358,74.23,0.0,62.9967,70312.24,461.4,124,73.465,0.9078096213499085
3b,2,78,529,1135,0.0,63.9968,71983.3,1919.5,202,78.475,0.0,63.9967,71620.17,731.4,140,80.109,0.9151127374717882
3b,2,79,527,1017,0.0,68.9964,76049.19,297.2,128,57.172,0.0,68.9964,75848.24,312.9,127,58.973,0.943986832866494
3b,2,80,533,1031,0.0,63.9968,71139.58,1123.8,181,72.959,0.0,63.4967,70509.7,566.7,140,67.964,0.9426051518597685
3b,2,82,499,973,0.0,57.9973,64812.18,718.3,173,59.17,0.0,57.9972,64598.04,286.4,119,63.681,0.9222744937615054
3b,2,83,512,942,0.0,63.9968,70897.72,161.5,107,54.237,0.0,63.9968,70777.67,211.3,117,55.092,0.952395948012425
3b,2,85,536,1036,0.0,63.997,70999.85,1173.7,183,64.884,0.0,62.9968,69944.33,501.7,153,68.736,0.9445506988189077
3b,2,86,509,1045,0.0,69.9967,77641.53,1378.0,188,74.344,0.0,69.9967,77415.94,492.4,130,72.732,0.941977648360229
3b,2,87,472,1014,0.0,65.9969,72911.66,1245.2,206,67.192,0.0,63.997,70965.71,308.4,122,66.624,0.9374888259995552
3b,2,88,481,1054,0.0,57.9973,66099.69,7966.2,306,72.179,0.0,56.9972,64847.64,310.7,113,68.501,0.9228838959304577
3b,2,89,530,989,0.0,63.9967,71073.49,2255.5,273,64.453,0.0,61.9967,69251.41,290.2,122,62.387,0.939634287688231
3b,2,90,485,1048,0.0,59.997,66791.91,1529.8,236,65.799,0.0,57.9971,64864.92,871.6,191,69.22,0.9394848134528829
3b,2,91,474,991,0.0,65.9967,73087.49,703.0,160,66.632,0.0,65.9966,72892.44,387.5,145,56.158,0.9285128010498735
3b,2,92,582,1118,0.0,68.9965,76669.22,1594.9,197,72.958,0.0,65.9964,73571.95,681.3,153,81.562,0.9278826430517955
3b,2,93,534,979,0.0,63.9969,70727.85,199.2,115,57.422,0.0,63.9969,70487.74,526.1,159,70.901,0.9415529734656183
3b,2,94,585,1390,0.0,67.9967,76166.7,3282.8,203,89.771,0.0,64.9966,73084.64,5746.7,241,126.937,0.9168029855754091
3b,2,95,527,1056,0.0,68.9962,76423.0,2291.6,264,68.963,0.0,68.9962,76167.35,1003.8,204,71.664,0.9263283490137207
3b,2,96,496,973,0.0,57.9971,64448.07,685.8,173,59.329,0.0,57.9971,64316.01,279.9,126,71.415,0.9335898245714778
3b,2,97,553,1061,0.0,63.9968,71837.48,1075.1,184,75.797,0.0,63.9968,71524.36,415.4,123,71.392,0.921697110235134
3b,2,99,576,1105,0.0,68.9967,76901.14,922.7,151,70.65,0.0,68.9966,76600.99,676.8,140,79.898,0.9181224976480626
3b,2,100,525,1096,0.0,63.9966,71821.32,470.1,123,73.662,0.0,61.9966,69807.3,542.3,132,81.54,0.9324519785195443
3b,2,101,456,1028,0.0,51.9976,59220.42,1826.3,243,68.993,0.0,51.9974,58868.23,305.4,119,68.319,0.8596641392026827
3b,2,102,545,1083,0.0,63.9968,71297.44,725.8,157,65.625,0.0,63.9967,71129.35,369.8,116,66.094,0.9444150384487368
3b,2,103,525,1090,0.0,63.9967,71271.44,1410.1,191,71.422,0.0,63.9967,70979.38,927.6,163,83.659,0.9421055648534385
3b,2,104,465,917,0.0,50.9976,57322.61,890.6,224,53.298,0.0,49.9977,56178.63,166.3,113,56.854,0.9017121944843811
3b,2,105,529,1002,0.0,57.9969,64787.79,965.9,198,60.721,0.0,57.9969,64548.14,246.9,117,59.745,0.9308651536579343
3b,2,106,658,1126,0.000366035,68.9961,77023.25,26942.6,242,106.461,0.0,66.9963,74751.28,467.5,118,85.793,0.9036584184998372
3b,2,107,561,1061,0.0,69.9964,77319.13,2115.4,238,63.415,0.0,69.9961,76990.15,915.7,195,76.894,0.9492420009648062
3b,2,108,475,956,0.0,65.9968,72735.69,353.1,137,55.22,0.0,64.9968,71678.61,439.5,150,58.936,0.9519200335647041
3b,2,109,519,1091,0.0,63.9963,72054.72,23315.8,286,81.283,0.0,63.9963,71758.75,470.7,124,73.042,0.9369442304794511
3b,2,111,537,1083,0.0,63.9968,72296.21,22977.0,303,100.256,0.0,63.9968,72009.25,391.9,114,72.656,0.9326548334764767
3b,2,112,583,1072,0.0,68.9962,76245.06,552.3,147,67.729,0.0,68.9961,76017.78,322.7,126,71.725,0.9313203742087278
3b,2,113,505,987,0.0,63.9968,71105.68,210.0,119,60.253,0.0,62.9969,70111.92,230.7,114,61.433,0.9308227459039634
3b,2,114,471,1047,0.0,59.9969,66598.36,21627.0,705,69.25,0.0,59.9967,66453.65,554.1,158,67.631,0.9239326024801356
3b,2,115,495,1104,0.0,63.9969,71395.52,685.8,136,74.32,0.0,63.9969,71208.32,668.0,123,83.56,0.9166686648431002
3b,2,116,551,1068,0.0,68.9962,76732.92,575.6,136,63.468,0.0,68.9959,76445.61,268.4,114,66.17,0.9353219764599074
3b,2,117,498,1064,0.0,59.997,68095.34,344.8,103,74.026,0.0,58.997,66839.37,294.6,100,67.956,0.9287434825141109
3b,2,118,515,1022,0.0,59.9972,66574.03,5290.9,486,73.443,0.0,59.9968,66304.26,387.3,131,74.343,0.9389748714376337
3b,2,119,480,1008,0.0,56.9972,63646.26,259.4,129,61.266,0.0,56.9971,63305.51,570.8,139,61.099,0.9206174393973764
3b,2,120,518,1126,0.0,61.9969,69229.49,658.0,154,72.776,0.0,61.9967,68881.17,461.2,132,75.652,0.910837323263778
3b,2,121,471,1029,0.0,50.9976,58024.58,805.7,190,63.778,0.0,50.9975,57590.59,1061.2,195,71.301,0.8478784998648449
3b,2,122,444,1041,0.0,51.9975,59044.34,620.3,148,63.778,0.0,51.9974,58645.05,451.3,141,71.528,0.8525483797485789
3b,2,123,532,1011,0.0,68.9968,76483.66,420.1,126,70.575,0.0,68.9968,76280.6,258.6,113,61.425,0.9437070312926955
3b,2,124,494,959,0.0,59.9971,66949.95,280.0,122,61.464,0.0,59.9969,66767.1,196.2,115,63.174,0.9361324761866079
3b,2,125,469,1024,0.0,50.9976,58087.06,21855.3,632,85.741,0.0,50.9976,57833.23,307.9,129,62.613,0.910683641861334
3b,2,126,527,1018,0.0,57.9974,65194.33,731.2,172,67.744,0.0,57.9972,64633.77,545.2,150,63.71,0.8944917726306019
3b,2,127,554,984,0.0,69.9966,77145.27,1669.4,256,58.391,0.0,69.9965,76786.89,379.2,136,62.008,0.9541533530133252
3b,2,128,556,1047,0.0,57.9971,65205.78,975.1,175,70.938,0.0,57.997,64951.64,392.9,112,83.031,0.8935924316031706
3b,2,129,490,1031,0.0,63.997,71003.89,793.3,174,63.469,0.0,63.997,70799.81,321.2,129,68.07,0.9339755034166065
3b,2,130,574,1183,0.0,68.9965,76953.6,22129.1,383,75.795,0.0,67.9965,75802.73,477.7,123,74.668,0.9272183273848787
3b,2,131,521,1016,0.0,57.9971,65295.81,300.9,127,62.386,0.0,56.9969,64237.13,469.5,132,62.878,0.9086932738244772
3b,2,132,466,976,0.0,57.9972,64872.12,493.4,157,62.167,0.0,57.997,64532.17,407.4,136,77.151,0.8689127789338768
3b,2,133,592,1198,0.0,68.9968,77441.05,3236.0,255,90.326,0.0,68.9966,77185.95,521.7,116,84.536,0.9394613443768587
3b,2,134,505,1055,0.0,64.9969,71543.8,725.7,162,61.259,0.0,62.9968,69708.59,653.2,160,69.295,0.922285945097291
3b,2,135,564,1077,0.0,63.9966,71263.33,276.8,114,79.663,0.0,63.9965,70993.31,802.1,152,73.745,0.9477599796986961
3b,2,136,499,1006,0.0,57.9975,64976.51,252.6,112,59.692,0.0,57.9975,64764.38,255.9,118,59.692,0.9070962953328953
3b,2,137,526,1032,0.0,63.9971,71277.91,2939.2,259,81.836,0.0,63.9971,71038.97,257.1,110,65.542,0.929698379774742
3b,2,138,584,1047,0.0,68.9967,76319.46,293.6,115,66.443,0.0,68.9966,76074.21,281.5,114,66.965,0.9493160780881844
3b,2,139,568,1100,0.0,69.9963,77526.98,323.9,115,65.337,0.0,69.9962,77365.5,693.2,144,80.457,0.9519535056335479
3b,2,140,543,1099,0.0,57.9971,65515.73,8536.8,223,86.55,0.0,57.9971,65146.72,378.5,123,68.765,0.9225362469933799
3b,2,141,456,1040,0.0,51.9975,59066.38,952.7,197,68.629,0.0,51.9975,58874.26,391.0,128,69.726,0.8836392492632499
3b,2,142,546,1042,0.0,68.9967,76401.58,278.8,108,68.13,0.0,68.9966,76105.54,245.1,114,62.477,0.9324415210232704
3b,2,143,608,1230,0.0,68.9963,76892.91,915.1,139,91.059,0.0,68.9962,76520.65,739.9,128,94.555,0.9010045358934013
3b,2,144,492,1053,0.0,57.9974,65835.83,689.0,156,74.071,0.0,57.9973,65529.71,380.0,116,69.333,0.9213990462340045
3b,2,145,474,1047,0.000462026,59.9966,66145.66,25802.0,697,78.173,0.0,59.9969,65902.33,593.9,173,74.063,0.9338203495191545
3b,2,146,446,975,0.0,50.9977,57682.61,1073.8,223,70.885,0.0,50.9977,57356.5,302.9,117,68.494,0.8485982320694656
3b,2,147,497,1041,0.0,59.9974,66654.13,1428.7,191,63.113,0.0,59.9971,66346.92,493.8,146,65.92,0.9304049333843416
3b,2,148,557,1054,0.0,63.9966,71489.36,830.0,166,62.507,0.0,63.9966,71205.31,511.4,147,69.817,0.9166983792141481
3b,2,149,492,913,0.0,63.9969,70419.73,391.5,143,52.118,0.0,63.9969,70152.22,249.8,131,53.979,0.9434474816154663
3b,2,150,571,1023,0.0,63.9971,71575.64,469.1,123,60.094,0.0,62.497,69983.57,510.8,137,70.628,0.926854826919814
3b,2,151,543,1057,0.0,63.9964,71181.1,461.8,137,65.867,0.0,63.9963,70798.07,483.5,140,71.982,0.9370026064204386
3b,2,152,469,951,0.0,59.9971,66682.02,1538.5,275,61.131,0.0,59.497,65930.16,314.4,134,56.741,0.9128875032164422
3b,2,153,561,1170,0.0,63.9969,71681.43,944.1,150,94.828,0.0,62.997,70493.46,701.9,129,94.593,0.9274261424950333
3b,2,154,570,1131,0.0,63.9969,72047.24,8879.7,412,97.455,0.0,63.9967,71748.22,756.9,132,76.787,0.9350167629645482
3b,2,155,531,1099,0.0,63.9968,71163.54,2738.1,245,76.795,0.0,63.9967,70996.33,380.8,122,73.2,0.9385194198311448
3b,2,156,468,956,0.0,57.9969,65047.53,1198.3,220,57.755,0.0,57.9968,64856.45,317.4,124,65.293,0.91137213682812
3b,2,157,482,954,0.0,63.9967,70727.54,4007.3,441,62.758,0.0,63.9966,70505.98,226.3,112,68.857,0.9383295991448688
3b,2,158,487,1028,0.0,57.9973,64900.1,854.6,179,72.709,0.0,57.9973,64669.04,393.7,132,72.141,0.912444706544438
3b,2,159,438,991,0.0,50.9976,57734.43,467.6,167,62.901,0.0,50.4974,57102.22,573.9,162,66.079,0.9047378573744451
3b,2,160,452,1014,0.0,63.9971,70235.84,512.1,152,59.896,0.0,60.997,67403.86,377.8,132,62.243,0.9282104099347817
3b,2,161,484,1055,0.0,51.9975,59124.32,1203.8,193,76.212,0.0,51.9973,58932.0,1173.9,182,89.668,0.8835953032584373
3b,2,162,513,991,0.0,63.9967,71115.47,833.4,169,58.194,0.0,62.9964,70100.21,276.8,131,58.754,0.9517488986235484
3b,2,163,543,994,0.0,68.9963,76081.13,218.9,117,64.869,0.0,68.9962,75895.02,239.0,116,62.901,0.9473606512669911
3b,2,164,492,984,0.0,63.9969,71205.82,223.7,118,54.032,0.0,63.9966,70940.85,217.1,118,60.828,0.931361034730717
3b,2,165,447,970,0.0,50.9976,57996.48,2486.7,336,56.408,0.0,50.9976,57702.17,338.7,132,60.782,0.8975171869893797
3b,2,166,537,1026,0.0,63.9968,71167.56,1099.9,198,64.952,0.0,63.9966,70933.36,290.8,116,63.998,0.9381344089436575
3b,2,167,525,1084,0.0,63.9967,71163.44,596.5,133,70.279,0.0,63.9967,70810.46,928.0,166,69.719,0.9268767998134358
3b,2,168,456,1030,0.0,51.9977,59492.65,1584.2,238,68.683,0.0,51.9977,59248.48,757.4,152,79.815,0.9030405834834558
3b,2,169,512,1048,0.0,63.9969,71337.61,216.6,103,64.18,0.0,61.4967,69007.39,326.8,118,66.571,0.934057363821757
3b,2,170,508,989,0.0,63.9966,70893.4,348.9,124,62.742,0.0,62.9966,69794.42,210.3,105,65.739,0.9389698391804499
3b,2,171,489,1043,0.0,63.997,71623.75,1170.6,191,72.285,0.0,63.9969,71386.56,266.2,117,60.895,0.931719534634507
3b,2,172,546,1098,0.0,63.997,71909.46,804.0,139,82.327,0.0,63.997,71350.85,997.3,154,100.929,0.9040762879404582
3b,2,173,525,1079,0.0,63.9965,71155.22,4205.0,325,81.578,0.0,63.9964,71005.15,708.8,153,69.825,0.948244605139107
3b,2,174,584,1057,0.0,68.9966,76795.31,1004.6,158,71.256,0.0,68.9965,76416.61,694.5,139,79.308,0.932083692162766
3b,2p5,0,426,879,0.0,53.9972,60482.17,395.4,152,52.784,0.0,53.9972,60381.48,171.8,112,51.974,0.9236807734055369
3b,2p5,1,402,768,0.0,53.9973,59908.53,553.7,196,45.989,0.0,53.9973,59796.9,102.8,107,46.519,0.9404639099870323
3b,2p5,2,438,882,0.0,43.9976,50866.44,392.7,147,53.851,0.0,43.9975,50505.45,344.0,135,61.638,0.89792942031748
3b,2p5,3,443,833,0.0,55.9968,62053.81,886.6,287,48.085,0.0,53.9969,60047.94,370.1,178,55.433,0.929655444910861
3b,2p5,4,451,857,0.0,59.997,66506.17,1152.5,223,55.653,0.0,59.997,66315.23,143.3,116,49.78,0.9245764571018944
3b,2p5,5,406,837,0.0,50.9975,57586.51,1060.7,275,52.035,0.0,50.9975,57374.5,239.7,128,49.106,0.9369229857780909
3b,2p5,6,409,859,0.0,47.9977,54312.69,237.6,141,51.028,0.0,47.9976,54223.55,374.0,151,63.091,0.9252719384158257
3b,2p5,7,440,857,0.0,53.9974,60604.26,134.3,101,54.351,0.0,52.9974,59292.89,201.3,120,53.064,0.9198602823730968
3b,2p5,8,435,829,0.0,55.9969,62117.93,2188.5,355,57.053,0.0,55.9969,61974.58,433.9,207,51.899,0.9396832955516865
3b,2p5,9,432,831,0.0,53.997,60284.02,709.2,226,54.419,0.0,53.9969,60183.93,263.5,137,53.45,0.913421734511652
3b,2p5,10,426,868,0.0,47.9977,54042.66,933.6,257,49.575,0.0,47.9977,53984.55,552.1,175,55.463,0.9200290941916831
3b,2p5,11,424,827,0.0,53.9974,60708.34,143.9,116,50.56,0.0,52.9974,59710.26,262.3,143,47.646,0.9235742995281645
3b,2p5,12,428,849,0.0,50.9974,57366.31,1061.5,246,57.658,0.0,50.9972,57160.92,239.9,125,52.201,0.903288496640004
3b,2p5,13,420,803,0.0,50.9974,57624.34,599.2,221,48.032,0.0,50.9974,57376.4,433.0,186,47.88,0.8952687680585598
3b,2p5,14,435,870,0.0,56.9972,63358.12,307.7,145,50.938,0.0,55.9972,62350.02,343.0,178,53.148,0.9334373786552764
3b,2p5,15,375,741,0.0,47.9976,54114.87,152.4,123,40.783,0.0,47.9976,53902.11,107.3,115,44.778,0.8890522491988121
3b,2p5,17,439,925,0.0,56.9974,63608.41,1631.1,274,58.338,0.0,56.9974,63476.34,722.5,210,63.477,0.9363465921867994
3b,2p5,18,367,764,0.0,47.9977,53564.86,167.6,139,43.363,0.0,47.9976,53481.78,102.5,105,44.967,0.9303580030806622
3b,2p5,19,391,825,0.0,45.9974,52454.25,250.4,132,54.101,0.0,44.998,51268.76,333.4,157,49.008,0.898153933927407
3b,2p5,20,456,805,0.0,53.9973,60216.34,435.6,182,53.397,0.0,53.9972,60037.02,224.2,151,46.761,0.9361002854921889
3b,2p5,21,419,808,0.0,50.9973,57372.36,258.4,145,50.484,0.0,50.9973,57254.28,327.5,165,46.465,0.9276020402790113
3b,2p5,22,409,866,0.0,49.9973,56474.23,700.5,203,57.65,0.0,49.9972,56160.09,156.9,105,59.118,0.8865683379465077
3b,2p5,23,406,875,0.0,48.9977,54840.8,603.4,210,51.754,0.0,48.9974,54618.26,446.5,185,55.372,0.850015538425389
3b,2p5,24,407,788,0.0,48.9977,55348.85,317.6,161,48.675,0.0,48.9976,55135.19,176.0,117,52.035,0.9185663450466991
3b,2p5,25,460,881,0.0,43.9977,50724.62,479.4,162,64.09,0.0,43.9976,50373.06,151.1,105,54.085,0.8929604558257969
3b,2p5,26,386,846,0.0,45.9974,52030.34,786.7,229,52.217,0.0,45.4973,51436.17,170.9,126,55.055,0.9227048382331335
3b,2p5,27,385,769,0.0,49.9978,55524.89,176.8,141,47.404,0.0,49.9977,55452.73,170.4,145,45.444,0.9409565948547471
3b,2p5,28,407,768,0.0,53.9973,60338.36,927.2,257,42.727,0.0,53.9973,60123.03,238.9,150,43.953,0.9287856782320963
3b,2p5,29,450,891,0.0,53.9974,60424.46,150.3,110,58.217,0.0,53.9974,60197.45,193.6,117,55.894,0.9329224658943623
3b,2p5,30,430,802,0.0,48.9977,55162.71,1333.2,322,51.513,0.0,48.9976,54927.64,253.1,147,49.024,0.9323209091524048
3b,2p5,31,427,832,0.0,53.9973,60604.24,831.6,227,53.375,0.0,53.9973,60252.27,129.1,111,49.417,0.9010235653480549
3b,2p5,32,427,859,0.0,43.9978,51022.78,335.0,154,57.537,0.0,43.9977,50715.61,169.8,110,57.431,0.8512293095303523
3b,2p5,33,398,885,0.0,45.9974,52028.42,516.6,179,53.207,0.0,44.9975,51029.44,649.0,185,58.762,0.9151691834285782
3b,2p5,34,402,776,0.0,48.9977,54836.73,137.5,124,43.567,0.0,48.9977,54630.79,129.2,113,52.459,0.9452643807281852
3b,2p5,35,466,947,0.0,59.9969,66635.83,178.0,112,58.187,0.0,59.9968,66260.42,295.7,129,63.477,0.9457829951553727
